City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,19.85,67,26,0.89,AU,1702335030
1,pregradnaya,43.9508,41.1994,7.61,64,100,1.16,RU,1702335031
2,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,87,40,7.6,RU,1702335033
3,polyarnyy,69.1989,33.4478,-12.96,91,96,6.91,RU,1702335034
4,olonkinbyen,70.9221,-8.7187,-0.06,98,100,6.3,SJ,1702335035
5,albany,42.6001,-73.9662,2.23,73,16,3.58,US,1702335036
6,island harbour,50.724,-1.2758,12.48,93,29,2.24,GB,1702335037
7,hithadhoo,-0.6,73.0833,27.61,78,51,2.76,MV,1702335038
8,papatowai,-46.5619,169.4708,10.17,64,54,9.14,NZ,1702335039
9,eyl,7.9803,49.8164,24.78,72,81,7.52,SO,1702335040
10,stanley,54.868,-1.6985,0.44,97,20,1.54,GB,1702335041
11,wailua homesteads,22.0669,-159.378,27.24,83,40,4.12,US,1702335042
12,tindouf,27.6711,-8.1474,16.25,27,84,2.06,DZ,1702335044
13,ceprano,41.5457,13.5147,14.33,91,98,0.38,IT,1702335045
14,ushuaia,-54.8,-68.3,11.81,40,0,1.54,AR,1702335046
15,bilibino,68.0546,166.4372,-20.27,95,100,1.61,RU,1702335047
16,luderitz,-26.6481,15.1594,18.59,53,0,9.41,NA,1702335048
17,iqaluit,63.7506,-68.5145,-15.15,72,75,4.63,CA,1702335049
18,uturoa,-16.7333,-151.4333,26.96,76,83,9.08,PF,1702335050
19,altamira,-3.2033,-52.2064,24.06,94,99,0.93,BR,1702335051
20,waingapu,-9.6567,120.2641,27.33,80,89,1.48,ID,1702335052
21,margate,51.3813,1.3862,7.61,90,1,0.89,GB,1702335053
22,margaret river,-33.95,115.0667,18.75,61,0,4.32,AU,1702334853
23,ust-nera,64.5667,143.2,-19.5,98,100,3.37,RU,1702335055
24,waitangi,-43.9535,-176.5597,13.79,92,100,3.58,NZ,1702335056
25,kourou,5.1552,-52.6478,28.03,88,93,2.84,GF,1702335057
26,undurkhaan,47.3194,110.6556,-27.88,99,94,0.64,MN,1702335059
27,magadan,59.5667,150.8,-8.96,95,100,3.83,RU,1702335060
28,champerico,14.3,-91.9167,34.3,71,2,2.68,GT,1702335061
29,grytviken,-54.2811,-36.5092,1.79,79,28,4.91,GS,1702335062
30,east london,-33.0153,27.9116,19.36,85,55,1.39,ZA,1702335063
31,west island,-12.1568,96.8225,25.99,73,40,3.09,CC,1702335064
32,port lincoln,-34.7333,135.8667,19.49,57,72,5.91,AU,1702335066
33,edinburgh of the seven seas,-37.0676,-12.3116,13.64,91,100,9.47,SH,1702335067
34,suva,-18.1416,178.4415,26.71,65,20,3.6,FJ,1702334818
35,bethel,41.3712,-73.414,4.73,66,100,4.63,US,1702334970
36,kerrville,30.0474,-99.1403,16.92,30,0,4.12,US,1702335052
37,weyburn,49.6668,-103.8511,-4.88,68,1,12.35,CA,1702335071
38,chonchi,-42.6128,-73.8092,13.95,92,100,2.21,CL,1702335073
39,tazacorte,28.629,-17.9293,20.08,46,0,3.13,ES,1702335074
40,ust'-ilimsk,58.0006,102.6619,-34.85,100,97,0.17,RU,1702335075
41,queenstown,-31.8976,26.8753,14.96,81,40,0.72,ZA,1702335076
42,pangody,65.85,74.4859,-27.21,89,100,5.41,RU,1702335078
43,port-aux-francais,-49.35,70.2167,5.73,98,99,10.77,TF,1702335079
44,arrifes,37.7667,-25.7,12.14,82,20,2.57,PT,1702335081
45,malango,-2.9627,119.9001,21.48,91,82,0.77,ID,1702335082
46,puerto natales,-51.7236,-72.4875,12.25,47,75,8.75,CL,1702335084
47,remire-montjoly,4.9167,-52.2667,28.02,78,20,1.54,GF,1702335086
48,choele choel,-39.2667,-65.6833,31.02,13,64,9.58,AR,1702335087
49,cabo san lucas,22.8909,-109.9124,28.12,61,1,2.04,MX,1702335088
50,kapa'a,22.0752,-159.319,27.99,83,40,4.12,US,1702335089
51,saudarkrokur,65.7461,-19.6394,-3.89,92,100,0.85,IS,1702335090
52,chibougamau,49.9168,-74.3659,-9.21,86,100,4.63,CA,1702335091
53,ilulissat,69.2167,-51.1,2.01,64,100,6.69,GL,1702335093
54,ugoofaaru,5.6667,73.0,25.83,88,95,1.61,MV,1702335094
55,ola,59.5833,151.2833,-7.65,89,100,5.14,RU,1702335095
56,hawaiian paradise park,19.5933,-154.9731,26.13,93,100,2.06,US,1702335096
57,port alfred,-33.5906,26.891,17.88,95,4,2.5,ZA,1702335098
58,broome,42.2506,-75.833,0.95,88,100,4.63,US,1702335099
59,slave lake,55.2834,-114.769,-7.01,58,0,2.57,CA,1702334826
60,avarua,-21.2078,-159.775,26.03,83,100,10.8,CK,1702335101
61,greymouth,-42.4667,171.2,12.62,64,93,8.35,NZ,1702334864
62,jalqani,12.4486,34.2186,26.35,21,56,4.37,SD,1702335103
63,callao,-12.0667,-77.15,21.16,73,40,5.66,PE,1702335089
64,val-d'or,48.1002,-77.7828,-10.95,85,40,2.57,CA,1702335068
65,ribeira grande,38.5167,-28.7,13.21,81,6,2.68,PT,1702335108
66,sumbe,-11.2061,13.8437,25.67,84,100,0.54,AO,1702335109
67,jamestown,42.097,-79.2353,0.77,77,100,6.17,US,1702335110
68,anadyr,64.75,177.4833,-25.56,75,20,4.0,RU,1702335111
69,yellowknife,62.456,-114.3525,-24.71,77,75,2.57,CA,1702334974
70,dolores,-36.3132,-57.6792,18.91,85,95,5.46,AR,1702335113
71,aasiaat,68.7098,-52.8699,-1.0,77,100,5.26,GL,1702335114
72,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702335116
73,nazareno,25.3833,-103.4167,20.28,28,22,2.18,MX,1702335117
74,enewetak,11.3474,162.3373,27.83,78,14,8.26,MH,1702335118
75,st. john's,47.5649,-52.7093,12.66,95,75,11.32,CA,1702335066
76,college,64.8569,-147.8028,-7.03,79,100,1.54,US,1702335120
